kind,name,bandwith(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(KB),cost(ms)
native,test_prove_proxy_tls,50,10,2048,1024,770,724.685
native,test_prove_proxy_tls,50,10,2048,2048,770,774.776
native,test_prove_proxy_tls,50,15,1024,16,770,840.712
native,test_prove_proxy_tls,50,15,1024,256,770,830.236
native,test_prove_proxy_tls,50,15,1024,1024,770,861.81
native,test_prove_proxy_tls,50,15,1024,2048,770,912.33
native,test_prove_proxy_tls,50,15,2048,16,770,822.243
native,test_prove_proxy_tls,50,15,2048,256,770,843.178
native,test_prove_proxy_tls,50,15,2048,1024,770,875.668
native,test_prove_proxy_tls,50,15,2048,2048,770,914.82
native,test_prove_proxy_tls,50,20,1024,16,770,960.106
native,test_prove_proxy_tls,50,20,1024,256,770,966.594
native,test_prove_proxy_tls,50,20,1024,1024,770,999.5
native,test_prove_proxy_tls,50,20,1024,2048,770,1033.505
native,test_prove_proxy_tls,50,20,2048,16,770,955.849
native,test_prove_proxy_tls,50,20,2048,256,770,973.562
native,test_prove_proxy_tls,50,20,2048,1024,770,997.909
native,test_prove_proxy_tls,50,20,2048,2048,770,1067.047
native,test_prove_proxy_tls,100,10,1024,16,770,577.994
native,test_prove_proxy_tls,100,10,1024,256,770,590.768
native,test_prove_proxy_tls,100,10,1024,1024,770,641.075
native,test_prove_proxy_tls,100,10,1024,2048,770,664.629
native,test_prove_proxy_tls,100,10,2048,16,770,586.454
native,test_prove_proxy_tls,100,10,2048,256,770,591.343
native,test_prove_proxy_tls,100,10,2048,1024,770,626.501
native,test_prove_proxy_tls,100,10,2048,2048,770,670.163
native,test_prove_proxy_tls,100,15,1024,16,770,726.435
native,test_prove_proxy_tls,100,15,1024,256,770,731.119
native,test_prove_proxy_tls,100,15,1024,1024,770,752.794
native,test_prove_proxy_tls,100,15,1024,2048,770,811.02
native,test_prove_proxy_tls,100,15,2048,16,770,729.894
native,test_prove_proxy_tls,100,15,2048,256,770,745.763
native,test_prove_proxy_tls,100,15,2048,1024,770,749.829
native,test_prove_proxy_tls,100,15,2048,2048,770,802.761
native,test_prove_proxy_tls,100,20,1024,16,770,873.997
native,test_prove_proxy_tls,100,20,1024,256,770,885.929
native,test_prove_proxy_tls,100,20,1024,1024,770,881.442
native,test_prove_proxy_tls,100,20,1024,2048,770,926.535
native,test_prove_proxy_tls,100,20,2048,16,770,883.59
native,test_prove_proxy_tls,100,20,2048,256,770,868.948
native,test_prove_proxy_tls,100,20,2048,1024,770,922.792
native,test_prove_proxy_tls,100,20,2048,2048,770,942.751
