kind,name,bandwith(Mbps),latency(ms),request_size(B),response_size(B),send_bytes(KB),cost(ms)
native,test_protocol,100,20,2048,1024,33449,4960.065
native,test_protocol,100,20,2048,2048,33489,4975.31
native,test_prot_on_off,50,10,1024,16,23595,5314.797
native,test_prot_on_off,50,10,1024,256,23607,5339.895
native,test_prot_on_off,50,10,1024,1024,23639,5353.632
native,test_prot_on_off,50,10,1024,2048,23679,5386.162
native,test_prot_on_off,50,10,2048,16,34070,7217.197
native,test_prot_on_off,50,10,2048,256,34082,7228.297
native,test_prot_on_off,50,10,2048,1024,34110,7233.521
native,test_prot_on_off,50,10,2048,2048,34150,7247.138
native,test_prot_on_off,50,15,1024,16,23595,5722.161
native,test_prot_on_off,50,15,1024,256,23607,5723.039
native,test_prot_on_off,50,15,1024,1024,23639,5742.131
native,test_prot_on_off,50,15,1024,2048,23679,5774.194
native,test_prot_on_off,50,15,2048,16,34070,7608.841
native,test_prot_on_off,50,15,2048,256,34082,7603.956
native,test_prot_on_off,50,15,2048,1024,34110,7618.222
native,test_prot_on_off,50,15,2048,2048,34150,7645.585
native,test_prot_on_off,50,20,1024,16,23595,6123.031
native,test_prot_on_off,50,20,1024,256,23607,6126.63
native,test_prot_on_off,50,20,1024,1024,23639,6202.939
native,test_prot_on_off,50,20,1024,2048,23679,6184.172
native,test_prot_on_off,50,20,2048,16,34070,8003.476
native,test_prot_on_off,50,20,2048,256,34082,8012.598
native,test_prot_on_off,50,20,2048,1024,34110,8053.836
native,test_prot_on_off,50,20,2048,2048,34150,8049.471
native,test_prot_on_off,100,10,1024,16,23595,3228.011
native,test_prot_on_off,100,10,1024,256,23607,3226.299
native,test_prot_on_off,100,10,1024,1024,23639,3247.097
native,test_prot_on_off,100,10,1024,2048,23679,3268.433
native,test_prot_on_off,100,10,2048,16,34070,4233.909
native,test_prot_on_off,100,10,2048,256,34082,4226.255
native,test_prot_on_off,100,10,2048,1024,34110,4214.43
native,test_prot_on_off,100,10,2048,2048,34150,4249.106
native,test_prot_on_off,100,15,1024,16,23595,3595.598
native,test_prot_on_off,100,15,1024,256,23607,3605.923
native,test_prot_on_off,100,15,1024,1024,23639,3632.934
native,test_prot_on_off,100,15,1024,2048,23679,3670.483
native,test_prot_on_off,100,15,2048,16,34070,4638.218
native,test_prot_on_off,100,15,2048,256,34082,4639.608
native,test_prot_on_off,100,15,2048,1024,34110,4634.649
native,test_prot_on_off,100,15,2048,2048,34150,4669.793
native,test_prot_on_off,100,20,1024,16,23595,4058.797
native,test_prot_on_off,100,20,1024,256,23607,4055.82
native,test_prot_on_off,100,20,1024,1024,23639,4079.798
native,test_prot_on_off,100,20,1024,2048,23679,4115.936
native,test_prot_on_off,100,20,2048,16,34070,5030.03
native,test_prot_on_off,100,20,2048,256,34082,5050.578
native,test_prot_on_off,100,20,2048,1024,34110,5044.73
native,test_prot_on_off,100,20,2048,2048,34150,5106.214
native,test_prove_proxy_tls,50,10,1024,16,366,670.775
native,test_prove_proxy_tls,50,10,1024,256,374,658.839
native,test_prove_proxy_tls,50,10,1024,1024,406,691.336
native,test_prove_proxy_tls,50,10,1024,2048,450,713.815
native,test_prove_proxy_tls,50,10,2048,16,366,648.525
native,test_prove_proxy_tls,50,10,2048,256,374,655.2
native,test_prove_proxy_tls,50,10,2048,1024,406,674.877
native,test_prove_proxy_tls,50,10,2048,2048,450,714.885
native,test_prove_proxy_tls,50,15,1024,16,366,769.495
native,test_prove_proxy_tls,50,15,1024,256,374,770.894
native,test_prove_proxy_tls,50,15,1024,1024,406,800.333
native,test_prove_proxy_tls,50,15,1024,2048,450,838.248
native,test_prove_proxy_tls,50,15,2048,16,366,764.585
native,test_prove_proxy_tls,50,15,2048,256,374,775.863
native,test_prove_proxy_tls,50,15,2048,1024,406,806.756
native,test_prove_proxy_tls,50,15,2048,2048,450,840.126
native,test_prove_proxy_tls,50,20,1024,16,366,889.126
native,test_prove_proxy_tls,50,20,1024,256,374,893.454
native,test_prove_proxy_tls,50,20,1024,1024,406,929.13
native,test_prove_proxy_tls,50,20,1024,2048,450,963.215
native,test_prove_proxy_tls,50,20,2048,16,366,885.134
native,test_prove_proxy_tls,50,20,2048,256,374,898.191
native,test_prove_proxy_tls,50,20,2048,1024,406,922.646
native,test_prove_proxy_tls,50,20,2048,2048,450,978.933
native,test_prove_proxy_tls,100,10,1024,16,366,530.273
native,test_prove_proxy_tls,100,10,1024,256,374,539.828
native,test_prove_proxy_tls,100,10,1024,1024,406,584.024
native,test_prove_proxy_tls,100,10,1024,2048,450,614.498
native,test_prove_proxy_tls,100,10,2048,16,366,532.834
native,test_prove_proxy_tls,100,10,2048,256,374,542.263
native,test_prove_proxy_tls,100,10,2048,1024,406,577.407
native,test_prove_proxy_tls,100,10,2048,2048,450,616.363
native,test_prove_proxy_tls,100,15,1024,16,366,669.58
native,test_prove_proxy_tls,100,15,1024,256,374,670.96
native,test_prove_proxy_tls,100,15,1024,1024,406,693.797
native,test_prove_proxy_tls,100,15,1024,2048,450,738.922
native,test_prove_proxy_tls,100,15,2048,16,366,673.494
native,test_prove_proxy_tls,100,15,2048,256,374,690.089
native,test_prove_proxy_tls,100,15,2048,1024,406,693.109
native,test_prove_proxy_tls,100,15,2048,2048,450,747.056
native,test_prove_proxy_tls,100,20,1024,16,366,807.955
native,test_prove_proxy_tls,100,20,1024,256,374,817.179
native,test_prove_proxy_tls,100,20,1024,1024,406,817.137
native,test_prove_proxy_tls,100,20,1024,2048,450,861.966
native,test_prove_proxy_tls,100,20,2048,16,366,814.36
native,test_prove_proxy_tls,100,20,2048,256,374,800.13
native,test_prove_proxy_tls,100,20,2048,1024,406,846.062
native,test_prove_proxy_tls,100,20,2048,2048,450,864.29
